@relation 'Data_Clean_WEKA-weka.filters.unsupervised.instance.SubsetByExpression-E(ATT2 >= 38719) and (ATT2 <= 39447)-weka.filters.unsupervised.attribute.Remove-Rfirst-7,15-21'

@attribute AvgOddsDiff numeric
@attribute P1_Seed {'not seeded',2,8,5,6,7,1,3,4,9,13,11,12,14,10,15,16,29,32,26,21,22,27,18,30,31,17,25,19,23,28,20,24,33}
@attribute P1_Entry {WC,regular,Q,LL,PR,SE,Alt}
@attribute SameHand {TRUE,FALSE}
@attribute HeightDiff numeric
@attribute SameCountry {FALSE,TRUE}
@attribute AgeDiff numeric
@attribute PtsDiffNorm numeric
@attribute P2_Result {W,L}

@data
-1.1178,6,regular,TRUE,11,FALSE,-5.163587,0.011884,W
-1.9246,2,regular,TRUE,3,FALSE,3.151266,0.030764,W
-1.3104,'not seeded',regular,TRUE,5,FALSE,0.613279,-0.015611,W
-0.728,1,regular,TRUE,3,FALSE,-2.557153,0.058992,L
-3.3856,1,regular,TRUE,0,FALSE,3.26078,0.08942,L
-2.6874,5,regular,FALSE,-18,FALSE,5.462012,0.058443,W
-2.3974,8,regular,TRUE,-3,FALSE,-7.340178,0.010784,L
5.455,'not seeded',regular,TRUE,7,FALSE,0.145106,-0.050622,W
-6.021,1,regular,TRUE,-3,FALSE,-6.603696,0.102374,L
0.0842,'not seeded',regular,TRUE,-2,FALSE,5.327858,-0.018361,L
-0.5868,'not seeded',regular,FALSE,7,FALSE,1.727584,-0.011884,W
-1.078,'not seeded',regular,TRUE,5,FALSE,-9.155373,-0.009379,L
-1.535,8,regular,FALSE,5,FALSE,-1.623546,0.000642,W
1.9658,'not seeded',regular,FALSE,0,FALSE,14.075291,-0.016283,W
0.7456,'not seeded',regular,TRUE,-10,FALSE,-2.392882,0.001314,W
1.9196,'not seeded',Q,TRUE,-15,FALSE,3.351129,-0.040418,L
0.752,'not seeded',regular,TRUE,-5,FALSE,0.25462,-0.011212,W
-2.562,1,regular,TRUE,3,FALSE,0.128679,0.062536,L
-1.1124,2,regular,TRUE,-10,FALSE,-3.969884,0.057343,L
1.8644,'not seeded',WC,TRUE,-2,FALSE,0.884326,-0.050133,L
1.2724,'not seeded',regular,TRUE,0,FALSE,2.9295,-0.040662,L
-0.0766,'not seeded',regular,TRUE,-15,FALSE,-1.752225,-0.004857,W
-0.0834,'not seeded',regular,TRUE,-2,TRUE,8.221766,-0.033636,W
-0.469,'not seeded',regular,TRUE,20,FALSE,-3.84668,-0.016283,W
-3.508,3,regular,TRUE,8,FALSE,-4.131417,0.032658,W
1.1348,'not seeded',regular,TRUE,0,FALSE,-0.544832,-0.061681,L
-0.6628,6,regular,TRUE,-5,FALSE,0.616016,0.034247,W
0.3792,'not seeded',regular,TRUE,18,FALSE,-4.29295,-0.084288,W
0.1796,'not seeded',Q,TRUE,-3,FALSE,-1.667351,-0.00944,L
-2.5844,4,regular,TRUE,0,FALSE,1.763176,0.042801,W
1.535,'not seeded',LL,FALSE,-3,FALSE,-0.36961,-0.044145,L
-3.5958,1,regular,TRUE,0,FALSE,3.811088,0.060948,L
-0.3258,5,regular,TRUE,6,FALSE,3.123888,0.030764,L
-1.7966,'not seeded',regular,TRUE,2,FALSE,-3.868583,0.033941,L
1.1144,'not seeded',Q,TRUE,22,FALSE,1.535934,-0.051905,W
2.5284,'not seeded',regular,FALSE,-7,FALSE,4.966461,-0.047689,W
-2.948,1,regular,FALSE,-3,FALSE,0.238193,0.092598,L
0.8578,'not seeded',regular,TRUE,-8,FALSE,6.603696,-0.013961,W
0.0022,'not seeded',regular,TRUE,-5,FALSE,1.785079,-0.004491,W
1.973,'not seeded',regular,TRUE,5,FALSE,4.714579,-0.118688,W
0.6828,'not seeded',WC,FALSE,11,FALSE,-1.437372,-0.036813,W
-1.1112,'not seeded',regular,TRUE,13,FALSE,-0.818617,-0.030825,L
-0.98275,'not seeded',Q,TRUE,-12,FALSE,6.28063,-0.011823,L
-0.2966,'not seeded',regular,TRUE,7,FALSE,-3.663244,-0.022638,L
